2026-06-15 13:04:54 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:07:58 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:09:56 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: data/duckdb/personal_finance.duckdb
2026-06-15 13:10:43 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: data/duckdb/personal_finance.duckdb
2026-06-15 13:11:15 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: data/duckdb/personal_finance.duckdb
2026-06-15 13:11:32 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: data/duckdb/personal_finance.duckdb
2026-06-15 13:11:45 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:12:30 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: data/duckdb/personal_finance.duckdb
2026-06-15 13:12:33 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: data/duckdb/personal_finance.duckdb
2026-06-15 13:13:11 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:13:14 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:36:56 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:46:49 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:47:31 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:48:32 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:48:50 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:49:02 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:49:11 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:49:21 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 13:49:23 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 21:27:56 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 21:28:40 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 21:30:27 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 21:40:18 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
2026-06-15 21:40:30 | INFO     | analytics.duckdb_engine | Opening DuckDB connection: :memory:
